📆 Saison;🚴‍♂️ Course;📅 Date;🔢 Etape;🟢 Ville départ;🏁 Ville d'arrivée;📏 Distance;🌄 Type;🥇 Vainqueur;👑 Leader général;Format vidéo;📺 Diffuseur;Rareté;Type de course;Titre;Prix vidéo
2016;Giro;vendredi 20 mai 2016;13;Palmanova;Cividale del Friuli;170;Accidentée;Mikel Nieve;Andrey Amador;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2016;Giro;samedi 21 mai 2016;14;Alpago (Farra);Corvara;210;Montagne;Esteban Chaves;Steven Kruijswijk;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2016;Giro;dimanche 22 mai 2016;15;Castelrotto/Kastelruth;Alpe di Siusi/Seiser Alm;10,8;Chrono individuel;Alexander Foliforov;Steven Kruijswijk;Long format;L'Equipe TV;Peu courant;Grand Tour;;4
2016;Giro;mardi 24 mai 2016;16;Bressanone/Brixen;Andalo;132;Accidentée;Alejandro Valverde;Steven Kruijswijk;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2016;Giro;mercredi 25 mai 2016;17;Molveno;Cassano d'Adda;196;Plat;Roger Kluge;Steven Kruijswijk;Long format;L'Equipe TV;Peu courant;Grand Tour;;4
2016;Giro;jeudi 26 mai 2016;18;Muggiò;Pinerolo;244;Accidentée;Matteo Trentin;Steven Kruijswijk;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2016;Giro;vendredi 27 mai 2016;19;Pinerolo;Risoul;162;Montagne;Vincenzo Nibali;Esteban Chaves;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2016;Giro;samedi 28 mai 2016;20;Guillestre;Sant'Anna di Vinadio;134;Montagne;Rein Taaramäe;Vincenzo Nibali;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2016;Giro;dimanche 29 mai 2016;21;Cuneo;Turin;163;Plat;Nikias Arndt;Vincenzo Nibali;Long format;L'Equipe TV;Peu courant;Grand Tour;;4
2016;Tour de France;samedi 2 juillet 2016;1;Mont Saint-Michel;Utah Beach;188;Plat;Mark Cavendish;Mark Cavendish;Intégralité;France TV;Peu courant;Grand Tour;;5
