📆 Saison;🚴‍♂️ Course;📅 Date;🔢 Etape;🟢 Ville départ;🏁 Ville d'arrivée;📏 Distance;🌄 Type;🥇 Vainqueur;👑 Leader général;Format vidéo;📺 Diffuseur;Rareté;Type de course;Titre;Prix vidéo
2017;Tour de France;18-juil-17;16;Le Puy-en-Velay;Romans-sur-Isère;165;Accidentée;Michael Matthews;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;19-juil-17;17;La Mure;Serre Chevalier;183;Montagne;Primož Roglič;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;20-juil-17;18;Briançon;Col d'Izoard;179,5;Montagne;Warren Barguil;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;21-juil-17;19;Embrun;Salon-de-Provence;222,5;Accidentée;Edvald Boasson Hagen;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;22-juil-17;20;Marseille;Marseille;22,5;Chrono individuel;Maciej Bodnar;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;23-juil-17;21;Saint-Denis - Montgeron;Paris-Champs-Elysées;103;Plat;Dylan Groenewegen;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de Lombardie;07-oct-17;;Bergame;Côme;247;Classique;Vincenzo Nibali;;Long format;L'Equipe TV;Très rare;Classique ou Semi-classique;;6,5
2018;Tour des Flandres;01-avr-18;;Antwerp;Oudenaarde;264,7;Classique;Niki Terpstra;;Long format;France TV;Très rare;Classique ou Semi-classique;;6
2018;Paris-Roubaix;08-avr-18;;Compiègne;Roubaix;257;Classique;Peter Sagan;;Long format;Eurosport;Très rare;Classique ou Semi-classique;;6
2018;Amstel Gold Race;15-avr-18;;Maastricht;Berg en Terblijt;263;Classique;Michael Valgren;;Long format;France 3;Très rare;Classique ou Semi-classique;;5,5
2018;Giro;04-mai-18;1;Jerusalem;Jerusalem;9,7;Chrono individuel;Tom Dumoulin;Tom Dumoulin;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;05-mai-18;2;Haifa;Tel Aviv;167;Plat;Elia Viviani;Rohan Dennis;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;06-mai-18;3;Be’er Sheva;Eilat;229;Plat;Elia Viviani;Rohan Dennis;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;08-mai-18;4;Catania;Caltagirone;202;Accidentée;Tim Wellens;Rohan Dennis;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;09-mai-18;5;Agrigento;Santa Ninfa;153;Accidentée;Enrico Battaglin;Rohan Dennis;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;10-mai-18;6;Caltanissetta;Etna;169;Montagne;Esteban Chaves;Simon Yates;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;11-mai-18;7;Pizzo;Praia a Mare;159;Plat;Sam Bennett;Simon Yates;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;12-mai-18;8;Praia a Mare;Montevergine di Mercogliano;209;Montagne;Richard Carapaz;Simon Yates;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;13-mai-18;9;Pesco Sannita;Gran Sasso;225;Montagne;Simon Yates;Simon Yates;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;16-mai-18;11;Assisi;Osimo;156;Accidentée;Simon Yates;Simon Yates;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;17-mai-18;12;Osimo;Imola;214;Plat;Sam Bennett;Simon Yates;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;18-mai-18;13;Ferrara;Nervesa della Battaglia;180;Plat;Elia Viviani;Simon Yates;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;19-mai-18;14;San Vito al Tagliamento;Monte Zoncolan;186;Montagne;Chris Froome;Simon Yates;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;20-mai-18;15;Tolmezzo;Sappada;176;Montagne;Simon Yates;Simon Yates;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;22-mai-18;16;Trento;Rovereto;34,2;Chrono individuel;Rohan Dennis;Simon Yates;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;23-mai-18;17;Riva del Garda;Iseo;155;Accidentée;Elia Viviani;Simon Yates;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;24-mai-18;18;Abbiategrasso;Prato Nevoso;196;Montagne;Maximilian Schachmann;Simon Yates;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;25-mai-18;19;Turin;Monte Jafferau;185;Montagne;Chris Froome;Chris Froome;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;26-mai-18;20;Susa;Cervinia;214;Montagne;Mikel Nieve;Chris Froome;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2018;Giro;27-mai-18;21;Rome;Rome;115;Plat;Sam Bennett;Chris Froome;Intégralité;L'Equipe TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;07-juil-18;1;Noirmoutier-en-l'Île;Fontenay-le-Comte;201;Plat;Fernando Gaviria;Fernando Gaviria;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;08-juil-18;2;Mouilleron-Saint-Germain;La Roche-sur-Yon;182,5;Plat;Peter Sagan;Peter Sagan;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;09-juil-18;3;Cholet;Cholet;35,5;Chrono par équipe;BMC Racing;Greg Van Avermaet;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;10-juil-18;4;La Baule;Sarzeau;195;Plat;Fernando Gaviria;Greg Van Avermaet;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;11-juil-18;5;Lorient;Quimper;204,5;Accidentée;Peter Sagan;Greg Van Avermaet;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;12-juil-18;6;Brest;Mûr-de-Bretagne;181;Accidentée;Dan Martin;Greg Van Avermaet;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;13-juil-18;7;Fougères;Chartres;231;Plat;Dylan Groenewegen;Greg Van Avermaet;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;14-juil-18;8;Dreux;Amiens;181;Plat;Dylan Groenewegen;Greg Van Avermaet;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;15-juil-18;9;Arras;Roubaix;156,5;Plat;John Degenkolb;Greg Van Avermaet;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;17-juil-18;10;Annecy;Le Grand-Bornand;158,5;Montagne;Julian Alaphilippe;Greg Van Avermaet;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;18-juil-18;11;Albertville;La Rosière;108,5;Montagne;Geraint Thomas;Geraint Thomas;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;19-juil-18;12;Bourg-Saint-Maurice;Alpe d'Huez;175,5;Montagne;Geraint Thomas;Geraint Thomas;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;20-juil-18;13;Bourg d'Oisans;Valence;169,5;Plat;Peter Sagan;Geraint Thomas;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;21-juil-18;14;Sain-Paul-Trois-Châteaux;Mende;188;Accidentée;Omar Fraile;Geraint Thomas;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;22-juil-18;15;Millau;Carcassonne;181,5;Accidentée;Magnus Cort Nielsen;Geraint Thomas;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;24-juil-18;16;Carcassonne;Luchon;218;Montagne;Julian Alaphilippe;Geraint Thomas;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;25-juil-18;17;Luchon;Col de Portet;65;Montagne;Nairo Quintana;Geraint Thomas;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;26-juil-18;18;Trie-sur-Baïse;Pau;171;Plat;Arnaud Démare;Geraint Thomas;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;27-juil-18;19;Lourdes;Laruns;200,5;Montagne;Primož Roglič;Geraint Thomas;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;28-juil-18;20;Saint-Pée-sur-Nivelle;Espelette;31;Chrono individuel;Tom Dumoulin;Geraint Thomas;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Tour de France;29-juil-18;21;Houilles;Paris-Champs-Elysées;116;Plat;Alexander Kristoff;Geraint Thomas;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2018;Vuelta;09-sept-18;15;Ribera de Arriba;Lacs de Covadonga;178;Montagne;Thibaut Pinot;Simon Yates;Long format;Eurosport;Très rare;Grand Tour;;6,5
2018;Vuelta;14-sept-18;19;Lérida;Andorre;154;Montagne;Thibaut Pinot;Simon Yates;Long format;Eurosport;Très rare;Grand Tour;;6,5
2018;Championnat du Monde;30-sept-18;;Innsbruck;Innsbruck;258,5;Course en ligne;Alejandro Valverde;;Long format;Eurosport;Très rare;Classique ou Semi-classique;;6
